# Characters of text keys that the default MySQL/MariaDB collations compare exactly like Access (05, Collation).
# code point, weight under utf8mb4_0900_as_ci (MySQL), weight under utf8mb4_uca1400_as_ci (MariaDB), safe (1/0).
# Weights: HEX(WEIGHT_STRING(<char> COLLATE <collation>)), measured on MySQL 8.0/8.4 and MariaDB 10.11/11.4/11.8;
# the integration matrix re-measures them (CollationWeightsIT, -Dcollation.update=true rewrites them).
# safe: derived by KeyTextSafetyTest from the weights and Access's own index encoding (Jackcess); rewrite with
# -Dcollation.update=true. Never edit by hand.
0115	1CAA000000200026	20DB00200026	1
0116	1CAA00000020002E	20DB0020002E	1
0117	1CAA00000020002E	20DB0020002E	1
0118	1CAA000000200031	20DB00200031	1
0119	1CAA000000200031	20DB00200031	1
011A	1CAA000000200028	20DB00200028	1
011B	1CAA000000200028	20DB00200028	1
011C	1CF4000000200027	212500200027	1
011D	1CF4000000200027	212500200027	1
011E	1CF4000000200026	212500200026	1
011F	1CF4000000200026	212500200026	1
0120	1CF400000020002E	21250020002E	1
0121	1CF400000020002E	21250020002E	1
0122	1CF4000000200030	212500200030	1
0123	1CF4000000200030	212500200030	1
0124	1D18000000200027	214C00200027	1
0125	1D18000000200027	214C00200027	1
0126	1D18000000200039	214C00200039	1
0127	1D18000000200039	214C00200039	1
0128	1D3200000020002D	21670020002D	1
0129	1D3200000020002D	21670020002D	1
012A	1D32000000200032	216700200032	1
012B	1D32000000200032	216700200032	1
012C	1D32000000200026	216700200026	1
012D	1D32000000200026	216700200026	1
012E	1D32000000200031	216700200031	1
012F	1D32000000200031	216700200031	1
0130	1D3200000020002E	21670020002E	1
0131	1D3600000020	216B0020	1
0132	1D321D4C000000200020	2167218300200020	0
0133	1D321D4C000000200020	2167218300200020	0
0134	1D4C000000200027	218300200027	1
0135	1D4C000000200027	218300200027	1
0136	1D65000000200030	219C00200030	1
0137	1D65000000200030	219C00200030	1
0138	1E2F00000020	22710020	1
0139	1D77000000200024	21B000200024	1
013A	1D77000000200024	21B000200024	1
013B	1D77000000200030	21B000200030	1
013C	1D77000000200030	21B000200030	1
013D	1D77000000200028	21B000200028	1
013E	1D77000000200028	21B000200028	1
013F	1D77000000200110	21B000200118	1
0140	1D77000000200110	21B000200118	1
0141	1D77000000200039	21B000200039	1
0142	1D77000000200039	21B000200039	1
0143	1DB9000000200024	21F700200024	1
0144	1DB9000000200024	21F700200024	1
0145	1DB9000000200030	21F700200030	1
0146	1DB9000000200030	21F700200030	1
0147	1DB9000000200028	21F700200028	1
0148	1DB9000000200028	21F700200028	1
0149	1F7E1DB9000000200020	23CF21F700200020	0
014A	1DD800000020	22160020	1
014B	1DD800000020	22160020	1
014C	1DDD000000200032	221D00200032	1
014D	1DDD000000200032	221D00200032	1
014E	1DDD000000200026	221D00200026	1
014F	1DDD000000200026	221D00200026	1
0150	1DDD00000020002C	221D0020002C	1
0151	1DDD00000020002C	221D0020002C	1
0152	1DDD1CAA0000002001100020	221D20DB002001180020	0
0153	1DDD1CAA0000002001100020	221D20DB002001180020	0
0154	1E33000000200024	227500200024	1
0155	1E33000000200024	227500200024	1
0156	1E33000000200030	227500200030	1
0157	1E33000000200030	227500200030	1
0158	1E33000000200028	227500200028	1
0159	1E33000000200028	227500200028	1
015A	1E71000000200024	22B600200024	1
015B	1E71000000200024	22B600200024	1
015C	1E71000000200027	22B600200027	1
015D	1E71000000200027	22B600200027	1
015E	1E71000000200030	22B600200030	1
015F	1E71000000200030	22B600200030	1
0160	1E71000000200028	22B600200028	1
0161	1E71000000200028	22B600200028	1
0162	1E95000000200030	22DF00200030	1
0163	1E95000000200030	22DF00200030	1
0164	1E95000000200028	22DF00200028	1
0165	1E95000000200028	22DF00200028	1
0166	1E9A00000020	22E40020	1
0167	1E9A00000020	22E40020	1
0168	1EB500000020002D	23010020002D	1
0169	1EB500000020002D	23010020002D	1
016A	1EB5000000200032	230100200032	1
016B	1EB5000000200032	230100200032	1
016C	1EB5000000200026	230100200026	1
016D	1EB5000000200026	230100200026	1
016E	1EB5000000200029	230100200029	1
016F	1EB5000000200029	230100200029	1
0170	1EB500000020002C	23010020002C	1
0171	1EB500000020002C	23010020002C	1
0172	1EB5000000200031	230100200031	1
0173	1EB5000000200031	230100200031	1
0174	1EF5000000200027	234300200027	1
0175	1EF5000000200027	234300200027	1
0176	1F0B000000200027	235900200027	1
0177	1F0B000000200027	235900200027	1
0178	1F0B00000020002B	23590020002B	1
0179	1F21000000200024	236F00200024	1
017A	1F21000000200024	236F00200024	1
017B	1F2100000020002E	236F0020002E	1
017C	1F2100000020002E	236F0020002E	1
017D	1F21000000200028	236F00200028	1
017E	1F21000000200028	236F00200028	1
017F	1E71000000200111	22B600200119	1
0180	1C6800000020	20970020	1
0181	1C7100000020	20A00020	1
0182	1C7500000020	20A40020	1
0183	1C7500000020	20A40020	1
0184	1F7100000020	23C20020	1
0185	1F7100000020	23C20020	1
0186	1DF000000020	22310020	1
0187	1C8500000020	20B50020	1
0188	1C8500000020	20B50020	1
0189	1C9700000020	20C80020	1
018A	1C9B00000020	20CC0020	1
018B	1CA000000020	20D10020	1
018C	1CA000000020	20D10020	1
018D	1F211EF5000000200020	236F234300200020	0
018E	1CB800000020	20E90020	1
018F	1CBD00000020	20EE0020	1
0190	1CC200000020	20F30020	1
0191	1CEE00000020	211F0020	1
0192	1CEE00000020	211F0020	0
0193	1D0600000020	21390020	1
0194	1D1000000020	21440020	1
0195	1D2000000020	21540020	1
0196	1D4700000020	217E0020	1
